Date,IBMrange,Lag1,Lag2
1/5/2006,1.650,1.170,2.740
1/6/2006,1.620,1.650,2.170
1/9/2006,0.870,1.620,2.650
1/10/2006,1.000,0.870,2.620
1/11/2006,1.410,1.000,1.870
1/12/2006,0.560,1.410,2.000
1/13/2006,0.950,0.560,2.410
1/17/2006,0.620,0.950,1.560
1/18/2006,1.180,0.620,1.950
1/19/2006,1.370,1.180,1.620
1/20/2006,1.800,1.370,2.180
1/23/2006,1.000,1.800,2.370
1/24/2006,1.350,1.000,2.800
1/25/2006,1.010,1.350,2.000
1/26/2006,1.060,1.010,2.350
1/27/2006,1.020,1.060,2.010
1/30/2006,1.600,1.020,2.060
1/31/2006,0.830,1.600,2.020
2/1/2006,1.590,0.830,2.600
2/2/2006,0.690,1.590,1.830
2/3/2006,1.050,0.690,2.590
2/6/2006,1.020,1.050,1.690
2/7/2006,0.890,1.020,2.050
2/8/2006,0.660,0.890,2.020
2/9/2006,1.300,0.660,1.890
2/10/2006,1.260,1.300,1.660
2/13/2006,1.730,1.260,2.300
2/14/2006,1.100,1.730,2.260
2/15/2006,1.000,1.100,2.730
2/16/2006,0.780,1.000,2.100
2/17/2006,0.900,0.780,2.000
2/21/2006,0.780,0.900,1.780
2/22/2006,1.680,0.780,1.900
2/23/2006,1.300,1.680,1.780
2/24/2006,0.800,1.300,2.680
2/27/2006,0.940,0.800,2.300
2/28/2006,0.840,0.940,1.800
3/1/2006,1.030,0.840,1.940
3/2/2006,0.670,1.030,1.840
3/3/2006,1.320,0.670,2.030
3/6/2006,0.740,1.320,1.670
3/7/2006,0.930,0.740,2.320
3/8/2006,1.350,0.930,1.740
3/9/2006,1.180,1.350,1.930
3/10/2006,1.220,1.180,2.350
3/13/2006,0.950,1.220,2.180
3/14/2006,1.520,0.950,2.220
3/15/2006,1.120,1.520,1.950
3/16/2006,1.110,1.120,2.520
3/17/2006,0.590,1.110,2.120
3/20/2006,0.760,0.590,2.110
3/21/2006,1.410,0.760,1.590
3/22/2006,1.330,1.410,1.760
3/23/2006,1.340,1.330,2.410
3/24/2006,0.730,1.340,2.330
3/27/2006,0.680,0.730,2.340
3/28/2006,1.100,0.680,1.730
3/29/2006,1.350,1.100,1.680
3/30/2006,0.870,1.350,2.100
3/31/2006,1.310,0.870,2.350
4/3/2006,0.940,1.310,1.870
4/4/2006,0.980,0.940,2.310
4/5/2006,1.130,0.980,1.940
4/6/2006,0.960,1.130,1.980
4/7/2006,1.360,0.960,2.130
4/10/2006,0.740,1.360,1.960
4/11/2006,1.310,0.740,2.360
4/12/2006,0.740,1.310,1.740
4/13/2006,1.480,0.740,2.310
4/17/2006,1.520,1.480,1.740
4/18/2006,1.830,1.520,2.480
4/19/2006,2.740,1.830,2.520
4/20/2006,1.210,2.740,2.830
4/21/2006,1.120,1.210,3.740
4/24/2006,1.310,1.120,2.210
4/25/2006,1.300,1.310,2.120
4/26/2006,0.770,1.300,2.310
4/27/2006,1.700,0.770,2.300
4/28/2006,1.640,1.700,1.770
5/1/2006,1.210,1.640,2.700
5/2/2006,0.740,1.210,2.640
5/3/2006,0.840,0.740,2.210
5/4/2006,0.690,0.840,1.740
5/5/2006,0.640,0.690,1.840
5/8/2006,0.920,0.640,1.690
5/9/2006,0.880,0.920,1.640
5/10/2006,0.730,0.880,1.920
5/11/2006,0.640,0.730,1.880
5/12/2006,1.390,0.640,1.730
5/15/2006,1.350,1.390,1.640
5/16/2006,1.180,1.350,2.390
5/17/2006,1.190,1.180,2.350
5/18/2006,1.320,1.190,2.180
5/19/2006,1.490,1.320,2.190
5/22/2006,0.940,1.490,2.320
5/23/2006,1.660,0.940,2.490
5/24/2006,0.980,1.660,1.940
5/25/2006,0.530,0.980,2.660
5/26/2006,1.160,0.530,1.980
5/30/2006,0.810,1.160,1.530
5/31/2006,1.220,0.810,2.160
6/1/2006,1.060,1.220,1.810
6/2/2006,1.410,1.060,2.220
6/5/2006,1.030,1.410,2.060
6/6/2006,1.400,1.030,2.410
6/7/2006,1.620,1.400,2.030
6/8/2006,2.830,1.620,2.400
6/9/2006,1.050,2.830,2.620
6/12/2006,1.080,1.050,3.830
6/13/2006,1.110,1.080,2.050
6/14/2006,0.920,1.110,2.080
6/15/2006,1.830,0.920,2.110
6/16/2006,0.960,1.830,1.920
6/19/2006,0.960,0.960,2.830
6/20/2006,1.050,0.960,1.960
6/21/2006,0.580,1.050,1.960
6/22/2006,1.370,0.580,2.050
6/23/2006,0.900,1.370,1.580
6/26/2006,0.720,0.900,2.370
6/27/2006,1.280,0.720,1.900
6/28/2006,0.540,1.280,1.720
6/29/2006,1.240,0.540,2.280
6/30/2006,1.140,1.240,1.540
7/3/2006,1.000,1.140,2.240
7/5/2006,0.870,1.000,2.140
7/6/2006,0.960,0.870,2.000
7/7/2006,1.970,0.960,1.870
7/10/2006,0.960,1.970,1.960
7/11/2006,1.210,0.960,2.970
7/12/2006,1.480,1.210,1.960
7/13/2006,1.450,1.480,2.210
7/14/2006,0.930,1.450,2.480
7/17/2006,0.740,0.930,2.450
7/18/2006,1.690,0.740,1.930
7/19/2006,1.060,1.690,1.740
7/20/2006,0.680,1.060,2.690
7/21/2006,1.000,0.680,2.060
7/24/2006,1.230,1.000,1.680
7/25/2006,1.100,1.230,2.000
7/26/2006,0.940,1.100,2.230
7/27/2006,1.540,0.940,2.100
7/28/2006,1.040,1.540,1.940
7/31/2006,1.350,1.040,2.540
8/1/2006,1.630,1.350,2.040
8/2/2006,0.730,1.630,2.350
8/3/2006,1.330,0.730,2.630
8/4/2006,1.450,1.330,1.730
8/7/2006,0.920,1.450,2.330
8/8/2006,1.150,0.920,2.450
8/9/2006,0.890,1.150,1.920
8/10/2006,1.030,0.890,2.150
8/11/2006,0.580,1.030,1.890
8/14/2006,1.890,0.580,2.030
8/15/2006,0.830,1.890,1.580
8/16/2006,1.930,0.830,2.890
8/17/2006,1.030,1.930,1.830
