Date,Open,High,Low,Close,Volume,Adj Close,SPreturn,Lag1,Lag2,Lag3,Lag4,Lag5,Direction,SPrange,Year,Month,Day,Weekday
36901,1300.800049,1313.76001,1287.280029,1313.27002,1296500000,1313.27002,0.958638571,0.381218963,-0.191781187,-2.624236196,-1.055247438,5.00986059,Up,26.479981,2001,1,10,4
36902,1313.27002,1332.189941,1309.719971,1326.819946,1411200000,1326.819946,1.031769994,0.958638571,0.381218963,-0.191781187,-2.624236196,-1.055247438,Up,22.46997,2001,1,11,5
36903,1326.819946,1333.209961,1311.589966,1318.550049,1276000000,1318.550049,-0.623287058,1.031769994,0.958638571,0.381218963,-0.191781187,-2.624236196,Down,21.619995,2001,1,12,6
36907,1318.319946,1327.810059,1313.329956,1326.650024,1205700000,1326.650024,0.614309256,-0.623287058,1.031769994,0.958638571,0.381218963,-0.191781187,Up,14.480103,2001,1,16,3
36908,1326.650024,1346.920044,1325.410034,1329.469971,1349100000,1329.469971,0.212561486,0.614309256,-0.623287058,1.031769994,0.958638571,0.381218963,Up,21.51001,2001,1,17,4
36909,1329.890015,1352.709961,1327.410034,1347.969971,1445000000,1347.969971,1.391531994,0.212561486,0.614309256,-0.623287058,1.031769994,0.958638571,Up,25.299927,2001,1,18,5
36910,1347.969971,1354.550049,1336.73999,1342.540039,1407800000,1342.540039,-0.40282292,1.391531994,0.212561486,0.614309256,-0.623287058,1.031769994,Down,17.810059,2001,1,19,6
36913,1342.540039,1353.619995,1333.839966,1342.900024,1164000000,1342.900024,0.026813725,-0.40282292,1.391531994,0.212561486,0.614309256,-0.623287058,Up,19.780029,2001,1,22,2
36914,1342.900024,1362.900024,1339.630005,1360.400024,1232600000,1360.400024,1.303149876,0.026813725,-0.40282292,1.391531994,0.212561486,0.614309256,Up,23.270019,2001,1,23,3
36915,1360.400024,1369.75,1357.280029,1364.300049,1309000000,1364.300049,0.286682221,1.303149876,0.026813725,-0.40282292,1.391531994,0.212561486,Up,12.469971,2001,1,24,4
36916,1364.300049,1367.349976,1354.630005,1357.51001,1258000000,1357.51001,-0.497693964,0.286682221,1.303149876,0.026813725,-0.40282292,1.391531994,Down,12.719971,2001,1,25,5
36917,1357.51001,1357.51001,1342.75,1354.949951,1098000000,1354.949951,-0.188584908,-0.497693964,0.286682221,1.303149876,0.026813725,-0.40282292,Down,14.76001,2001,1,26,6
36920,1354.920044,1365.540039,1350.359985,1364.170044,1053100000,1364.170044,0.680474802,-0.188584908,-0.497693964,0.286682221,1.303149876,0.026813725,Up,15.180054,2001,1,29,2
36921,1364.170044,1375.680054,1356.199951,1373.72998,1149800000,1373.72998,0.700787709,0.680474802,-0.188584908,-0.497693964,0.286682221,1.303149876,Up,19.480103,2001,1,30,3
36922,1373.72998,1383.369995,1364.660034,1366.01001,1295300000,1366.01001,-0.561971429,0.700787709,0.680474802,-0.188584908,-0.497693964,0.286682221,Down,18.709961,2001,1,31,4
36923,1366.01001,1373.5,1359.339966,1373.469971,1118800000,1373.469971,0.546113202,-0.561971429,0.700787709,0.680474802,-0.188584908,-0.497693964,Up,14.160034,2001,2,1,5
36924,1373.469971,1376.380005,1348.719971,1349.469971,1048400000,1349.469971,-1.747398961,0.546113202,-0.561971429,0.700787709,0.680474802,-0.188584908,Down,27.660034,2001,2,2,6
36927,1349.469971,1354.560059,1344.47998,1354.310059,1013000000,1354.310059,0.358665854,-1.747398961,0.546113202,-0.561971429,0.700787709,0.680474802,Up,10.080079,2001,2,5,2
36928,1354.310059,1363.550049,1350.040039,1352.26001,1059600000,1352.26001,-0.151372205,0.358665854,-1.747398961,0.546113202,-0.561971429,0.700787709,Down,13.51001,2001,2,6,3
36929,1352.26001,1352.26001,1334.26001,1340.890015,1158300000,1340.890015,-0.84081426,-0.151372205,0.358665854,-1.747398961,0.546113202,-0.561971429,Down,18,2001,2,7,4
36930,1341.099976,1350.319946,1332.420044,1332.530029,1107200000,1332.530029,-0.623465453,-0.84081426,-0.151372205,0.358665854,-1.747398961,0.546113202,Down,17.899902,2001,2,8,5
36931,1332.530029,1332.530029,1309.97998,1314.76001,1075500000,1314.76001,-1.333554863,-0.623465453,-0.84081426,-0.151372205,0.358665854,-1.747398961,Down,22.550049,2001,2,9,6
36934,1314.76001,1330.959961,1313.640015,1330.310059,1039100000,1330.310059,1.182729082,-1.333554863,-0.623465453,-0.84081426,-0.151372205,0.358665854,Up,17.319946,2001,2,12,2
36935,1330.310059,1336.619995,1317.51001,1318.800049,1075200000,1318.800049,-0.865212581,1.182729082,-1.333554863,-0.623465453,-0.84081426,-0.151372205,Down,19.109985,2001,2,13,3
36936,1318.800049,1320.72998,1304.719971,1315.920044,1150300000,1315.920044,-0.218380717,-0.865212581,1.182729082,-1.333554863,-0.623465453,-0.84081426,Down,16.010009,2001,2,14,4
36937,1315.920044,1331.290039,1315.920044,1326.609985,1153700000,1326.609985,0.812354903,-0.218380717,-0.865212581,1.182729082,-1.333554863,-0.623465453,Up,15.369995,2001,2,15,5
36938,1326.609985,1326.609985,1293.180054,1301.530029,1257200000,1301.530029,-1.890529717,0.812354903,-0.218380717,-0.865212581,1.182729082,-1.333554863,Down,33.429931,2001,2,16,6
36942,1301.530029,1307.160034,1278.439941,1278.939941,1112200000,1278.939941,-1.735656304,-1.890529717,0.812354903,-0.218380717,-0.865212581,1.182729082,Down,28.720093,2001,2,20,3
36943,1278.939941,1282.969971,1253.160034,1255.27002,1208500000,1255.27002,-1.850745312,-1.735656304,-1.890529717,0.812354903,-0.218380717,-0.865212581,Down,29.809937,2001,2,21,4
36944,1255.27002,1259.939941,1228.329956,1252.819946,1365900000,1252.819946,-0.195183025,-1.850745312,-1.735656304,-1.890529717,0.812354903,-0.218380717,Down,31.609985,2001,2,22,5
36945,1252.819946,1252.819946,1215.439941,1245.859985,1231300000,1245.859985,-0.555543598,-0.195183025,-1.850745312,-1.735656304,-1.890529717,0.812354903,Down,37.380005,2001,2,23,6
36948,1245.859985,1267.689941,1241.709961,1267.650024,1130800000,1267.650024,1.748995815,-0.555543598,-0.195183025,-1.850745312,-1.735656304,-1.890529717,Up,25.97998,2001,2,26,2
36949,1267.650024,1272.76001,1252.26001,1257.939941,1114100000,1257.939941,-0.765990835,1.748995815,-0.555543598,-0.195183025,-1.850745312,-1.735656304,Down,20.5,2001,2,27,3
36950,1257.939941,1263.469971,1229.650024,1239.939941,1225300000,1239.939941,-1.430910921,-0.765990835,1.748995815,-0.555543598,-0.195183025,-1.850745312,Down,33.819947,2001,2,28,4
36951,1239.939941,1241.359985,1214.5,1241.22998,1294900000,1241.22998,0.104040442,-1.430910921,-0.765990835,1.748995815,-0.555543598,-0.195183025,Up,26.859985,2001,3,1,5
36952,1241.22998,1251.01001,1219.73999,1234.180054,1294000000,1234.180054,-0.56797903,0.104040442,-1.430910921,-0.765990835,1.748995815,-0.555543598,Down,31.27002,2001,3,2,6
36955,1234.180054,1242.550049,1234.040039,1241.410034,929200000,1241.410034,0.585812417,-0.56797903,0.104040442,-1.430910921,-0.765990835,1.748995815,Up,8.51001,2001,3,5,2
36956,1241.410034,1267.420044,1241.410034,1253.800049,1091800000,1253.800049,0.99805984,0.585812417,-0.56797903,0.104040442,-1.430910921,-0.765990835,Up,26.01001,2001,3,6,3
36957,1253.800049,1263.859985,1253.800049,1261.890015,1132200000,1261.890015,0.645235738,0.99805984,0.585812417,-0.56797903,0.104040442,-1.430910921,Up,10.059936,2001,3,7,4
36958,1261.890015,1266.5,1257.599976,1264.73999,1114100000,1264.73999,0.225849715,0.645235738,0.99805984,0.585812417,-0.56797903,0.104040442,Up,8.900024,2001,3,8,5
36959,1264.73999,1264.73999,1228.420044,1233.420044,1085900000,1233.420044,-2.476394061,0.225849715,0.645235738,0.99805984,0.585812417,-0.56797903,Down,36.319946,2001,3,9,6
36962,1233.420044,1233.420044,1176.780029,1180.160034,1229000000,1180.160034,-4.318075603,-2.476394061,0.225849715,0.645235738,0.99805984,0.585812417,Down,56.640015,2001,3,12,2
36963,1180.160034,1197.829956,1171.5,1197.660034,1360900000,1197.660034,1.48284974,-4.318075603,-2.476394061,0.225849715,0.645235738,0.99805984,Up,26.329956,2001,3,13,3
36964,1197.660034,1197.660034,1155.349976,1166.709961,1397400000,1166.709961,-2.58421189,1.48284974,-4.318075603,-2.476394061,0.225849715,0.645235738,Down,42.310058,2001,3,14,4
36965,1166.709961,1182.040039,1166.709961,1173.560059,1259500000,1173.560059,0.587129469,-2.58421189,1.48284974,-4.318075603,-2.476394061,0.225849715,Up,15.330078,2001,3,15,5
36966,1173.560059,1173.560059,1148.640015,1150.530029,1543560000,1150.530029,-1.962407448,0.587129469,-2.58421189,1.48284974,-4.318075603,-2.476394061,Down,24.920044,2001,3,16,6
36969,1150.530029,1173.5,1147.180054,1170.810059,1126200000,1170.810059,1.762668465,-1.962407448,0.587129469,-2.58421189,1.48284974,-4.318075603,Up,26.319946,2001,3,19,2
36970,1170.810059,1180.560059,1142.189941,1142.619995,1235900000,1142.619995,-2.407740161,1.762668465,-1.962407448,0.587129469,-2.58421189,1.48284974,Down,38.370118,2001,3,20,3
36971,1142.619995,1149.390015,1118.73999,1122.140015,1346300000,1122.140015,-1.792370175,-2.407740161,1.762668465,-1.962407448,0.587129469,-2.58421189,Down,30.650025,2001,3,21,4
36972,1122.140015,1124.27002,1081.189941,1117.579956,1723950000,1117.579956,-0.406371659,-1.792370175,-2.407740161,1.762668465,-1.962407448,0.587129469,Down,43.080079,2001,3,22,5
36973,1117.579956,1141.829956,1117.579956,1139.829956,1364900000,1139.829956,1.990909007,-0.406371659,-1.792370175,-2.407740161,1.762668465,-1.962407448,Up,24.25,2001,3,23,6
36976,1139.829956,1160.02002,1139.829956,1152.689941,1114000000,1152.689941,1.128237149,1.990909007,-0.406371659,-1.792370175,-2.407740161,1.762668465,Up,20.190064,2001,3,26,2
36977,1152.689941,1183.349976,1150.959961,1182.170044,1314200000,1182.170044,2.557505011,1.128237149,1.990909007,-0.406371659,-1.792370175,-2.407740161,Up,32.390015,2001,3,27,3
36978,1182.170044,1182.170044,1147.829956,1153.290039,1333400000,1153.290039,-2.442965388,2.557505011,1.128237149,1.990909007,-0.406371659,-1.792370175,Down,34.340088,2001,3,28,4
36979,1153.290039,1161.689941,1136.26001,1147.949951,1234500000,1147.949951,-0.463030792,-2.442965388,2.557505011,1.128237149,1.990909007,-0.406371659,Down,25.429931,2001,3,29,5
36980,1147.949951,1162.800049,1143.829956,1160.329956,1280800000,1160.329956,1.078444665,-0.463030792,-2.442965388,2.557505011,1.128237149,1.990909007,Up,18.970093,2001,3,30,6
36983,1160.329956,1169.51001,1137.51001,1145.869995,1254900000,1145.869995,-1.246193889,1.078444665,-0.463030792,-2.442965388,2.557505011,1.128237149,Down,32,2001,4,2,2
36984,1145.869995,1145.869995,1100.189941,1106.459961,1386100000,1106.459961,-3.439311106,-1.246193889,1.078444665,-0.463030792,-2.442965388,2.557505011,Down,45.680054,2001,4,3,3
36985,1106.459961,1117.5,1091.98999,1103.25,1425590000,1103.25,-0.290110904,-3.439311106,-1.246193889,1.078444665,-0.463030792,-2.442965388,Down,25.51001,2001,4,4,4
36986,1103.25,1151.469971,1103.25,1151.439941,1368000000,1151.439941,4.367998278,-0.290110904,-3.439311106,-1.246193889,1.078444665,-0.463030792,Up,48.219971,2001,4,5,5
36987,1151.439941,1151.439941,1119.290039,1128.430054,1266800000,1128.430054,-1.99835755,4.367998278,-0.290110904,-3.439311106,-1.246193889,1.078444665,Down,32.149902,2001,4,6,6
36990,1128.430054,1146.130005,1126.380005,1137.589966,1062800000,1137.589966,0.811739458,-1.99835755,4.367998278,-0.290110904,-3.439311106,-1.246193889,Up,19.75,2001,4,9,2
36991,1137.589966,1173.920044,1137.589966,1168.380005,1349600000,1168.380005,2.706602548,0.811739458,-1.99835755,4.367998278,-0.290110904,-3.439311106,Up,36.330078,2001,4,10,3
36992,1168.380005,1182.23999,1160.26001,1165.890015,1290300000,1165.890015,-0.213114739,2.706602548,0.811739458,-1.99835755,4.367998278,-0.290110904,Down,21.97998,2001,4,11,4
36993,1165.890015,1183.51001,1157.72998,1183.5,1102000000,1183.5,1.510432783,-0.213114739,2.706602548,0.811739458,-1.99835755,4.367998278,Up,25.78003,2001,4,12,5
36997,1183.5,1184.640015,1167.380005,1179.680054,913900000,1179.680054,-0.322766878,1.510432783,-0.213114739,2.706602548,0.811739458,-1.99835755,Down,17.26001,2001,4,16,2
36998,1179.680054,1192.25,1168.900024,1191.810059,1109600000,1191.810059,1.028245325,-0.322766878,1.510432783,-0.213114739,2.706602548,0.811739458,Up,23.349976,2001,4,17,3
36999,1191.810059,1248.420044,1191.810059,1238.160034,1918900000,1238.160034,3.889040426,1.028245325,-0.322766878,1.510432783,-0.213114739,2.706602548,Up,56.609985,2001,4,18,4
37000,1238.160034,1253.709961,1233.390015,1253.689941,1486800000,1253.689941,1.254273,3.889040426,1.028245325,-0.322766878,1.510432783,-0.213114739,Up,20.319946,2001,4,19,5
37001,1253.699951,1253.699951,1234.410034,1242.97998,1338700000,1242.97998,-0.8542751,1.254273,3.889040426,1.028245325,-0.322766878,1.510432783,Down,19.289917,2001,4,20,6
