Date,Open,High,Low,Close,Adj Close,Volume,LGFret
1/3/2007,10.77,10.82,10.47,10.55,10.150104,1185400,
1/4/2007,10.59,10.65,10.5,10.53,10.130861,1101500,-0.190
1/5/2007,10.48,10.67,10.37,10.39,9.996167,603200,-1.330
1/8/2007,10.4,10.5,10.38,10.39,9.996167,734100,0.000
1/9/2007,10.4,10.43,10.26,10.33,9.938443,1553900,-0.577
1/10/2007,10.3,10.4,10.17,10.23,9.842232,972800,-0.968
1/11/2007,10.28,10.44,10.25,10.3,9.909579,2650400,0.684
1/12/2007,10,10.47,10,10.43,10.034654,529500,1.262
1/16/2007,10.42,10.5,10.38,10.45,10.053894,294600,0.192
1/17/2007,10.44,10.57,10.4,10.44,10.044273,549500,-0.096
1/18/2007,10.46,10.57,10.31,10.35,9.957684,705200,-0.862
1/19/2007,10.38,10.55,10.34,10.5,10.101997,822000,1.449
1/22/2007,10.45,10.55,10.37,10.49,10.092377,447800,-0.095
1/23/2007,10.51,10.76,10.46,10.7,10.294419,729800,2.002
1/24/2007,10.75,10.79,10.67,10.78,10.371385,236600,0.748
1/25/2007,10.79,10.82,10.61,10.65,10.246312,568800,-1.206
1/26/2007,10.68,10.75,10.55,10.73,10.323281,438400,0.751
1/29/2007,10.77,10.84,10.67,10.82,10.40987,317600,0.839
1/30/2007,10.79,10.91,10.65,10.76,10.352141,679200,-0.555
1/31/2007,10.77,10.98,10.72,10.87,10.457973,663800,1.022
2/1/2007,10.89,10.97,10.75,10.82,10.40987,481400,-0.460
2/2/2007,10.83,10.98,10.73,10.76,10.352141,789900,-0.555
2/5/2007,10.67,10.72,10.5,10.56,10.159725,419800,-1.859
2/6/2007,10.57,10.77,10.46,10.77,10.361765,974900,1.989
2/7/2007,10.8,11.06,10.8,11.04,10.62153,1287800,2.507
2/8/2007,11.04,11.22,10.94,11.13,10.708118,728100,0.815
2/9/2007,11.15,11.23,10.95,11.19,10.765843,3229500,0.539
2/12/2007,11.4,11.79,11.11,11.15,10.727358,2550600,-0.357
2/13/2007,11.28,11.28,11.13,11.15,10.727358,670300,0.000
2/14/2007,11.16,11.38,11.15,11.34,10.910157,884500,1.704
2/15/2007,11.34,11.37,11.12,11.32,10.890917,486900,-0.176
2/16/2007,11.32,11.34,11.23,11.32,10.890917,215900,0.000
2/20/2007,11.31,11.65,11.3,11.64,11.198786,1062600,2.827
2/21/2007,11.68,11.68,11.43,11.49,11.054473,432300,-1.289
2/22/2007,11.5,11.6,11.4,11.53,11.092957,432900,0.348
2/23/2007,11.54,11.57,11.48,11.55,11.1122,392100,0.173
2/26/2007,11.55,11.58,11.23,11.45,11.015987,637800,-0.866
2/27/2007,11.33,11.36,10.85,11.01,10.592668,533100,-3.843
2/28/2007,11.02,11.1,10.83,11.01,10.592668,354500,0.000
3/1/2007,10.94,10.95,10.67,10.87,10.457973,343600,-1.272
3/2/2007,10.87,10.93,10.75,10.76,10.352141,243600,-1.012
3/5/2007,10.63,10.79,10.52,10.68,10.275176,435600,-0.743
3/6/2007,10.75,10.85,10.68,10.83,10.41949,343200,1.404
3/7/2007,10.8,11.37,10.75,11.28,10.852431,1273500,4.155
3/8/2007,11.36,11.58,11.33,11.41,10.977505,780300,1.152
3/9/2007,11.44,11.55,11.3,11.39,10.958265,658600,-0.175
3/12/2007,11.37,11.77,11.37,11.73,11.285376,489200,2.985
3/13/2007,11.62,11.74,11.42,11.46,11.025611,299800,-2.302
3/14/2007,11.43,11.45,11.21,11.37,10.939022,341400,-0.785
3/15/2007,11.4,11.53,11.33,11.38,10.948643,269900,0.088
3/16/2007,11.37,11.44,11.21,11.32,10.890917,141300,-0.527
3/19/2007,11.3,11.49,11.26,11.39,10.958265,419100,0.618
3/20/2007,11.34,11.65,11.34,11.65,11.208408,2757500,2.283
3/21/2007,11.66,12.11,11.66,11.97,11.516279,1218600,2.747
3/22/2007,11.97,12.04,11.85,11.94,11.487416,310400,-0.251
3/23/2007,11.84,12.04,11.78,12.01,11.554762,369500,0.586
3/26/2007,11.9,12.06,11.69,11.84,11.391205,883900,-1.415
3/27/2007,11.8,11.8,11.68,11.7,11.256512,513900,-1.182
3/28/2007,11.7,11.7,11.45,11.57,11.131439,1049400,-1.111
3/29/2007,11.58,11.64,11.34,11.38,10.948643,469600,-1.642
3/30/2007,11.37,11.54,11.25,11.42,10.987127,842800,0.351
4/2/2007,11.42,11.42,11.14,11.31,10.881295,574100,-0.963
4/3/2007,11.32,11.43,11.32,11.34,10.910157,342900,0.265
4/4/2007,11.35,11.4,11.18,11.21,10.785087,344100,-1.146
4/5/2007,11.16,11.37,11.05,11.29,10.862054,2083100,0.714
4/9/2007,11.32,11.49,11.32,11.36,10.9294,513100,0.620
4/10/2007,11.34,11.44,11.16,11.22,10.794707,834100,-1.232
4/11/2007,11.21,11.3,11.05,11.15,10.727358,422000,-0.624
4/12/2007,11.09,11.32,11.05,11.25,10.823571,748800,0.897
4/13/2007,11.29,11.77,11.26,11.75,11.304621,1212800,4.444
4/16/2007,11.75,11.77,11.6,11.7,11.256512,353100,-0.426
4/17/2007,11.71,11.88,11.71,11.87,11.420069,534900,1.453
4/18/2007,11.86,11.97,11.71,11.72,11.275757,580100,-1.264
4/19/2007,11.66,11.71,11.56,11.63,11.189167,336200,-0.768
4/20/2007,11.59,11.83,11.56,11.83,11.381585,528000,1.720
4/23/2007,11.85,11.87,11.69,11.86,11.410448,436600,0.254
4/24/2007,11.88,11.89,11.66,11.68,11.237271,316000,-1.518
4/25/2007,11.73,11.75,11.35,11.38,10.948643,821500,-2.568
4/26/2007,11.42,11.67,11.35,11.58,11.141062,781400,1.757
4/27/2007,11.57,11.65,11.48,11.55,11.1122,444400,-0.259
4/30/2007,11.58,11.59,11.37,11.43,10.996748,291800,-1.039
5/1/2007,11.38,11.41,11.19,11.23,10.804327,877000,-1.750
5/2/2007,11.2,11.57,11.2,11.49,11.054473,473300,2.315
5/3/2007,11.46,11.59,11.35,11.5,11.064095,473500,0.087
5/4/2007,11.49,11.59,11.39,11.44,11.006366,263100,-0.522
5/7/2007,11.42,11.56,11.42,11.51,11.073715,317200,0.612
5/8/2007,11.44,11.63,11.44,11.6,11.160303,375300,0.782
5/9/2007,11.53,11.61,11.45,11.51,11.073715,172300,-0.776
5/10/2007,11.49,11.57,11.32,11.57,11.131439,368400,0.521
5/11/2007,11.57,11.68,11.49,11.53,11.092957,420600,-0.346
5/14/2007,11.52,11.58,11.49,11.53,11.092957,281200,0.000
5/15/2007,11.52,11.69,11.41,11.53,11.092957,678400,0.000
5/16/2007,11.51,11.61,11.5,11.57,11.131439,467400,0.347
5/17/2007,11.5,11.55,11.43,11.49,11.054473,738400,-0.691
5/18/2007,11.53,11.62,11.51,11.58,11.141062,514300,0.783
5/21/2007,11.48,11.71,11.48,11.7,11.256512,381900,1.036
5/22/2007,11.67,11.94,11.65,11.77,11.323858,688400,0.598
5/23/2007,11.78,11.88,11.73,11.73,11.285376,257800,-0.340
5/24/2007,11.77,11.81,11.69,11.75,11.304621,577900,0.171
5/25/2007,11.71,11.76,11.7,11.75,11.304621,376600,0.000
5/29/2007,11.83,11.97,11.69,11.74,11.294997,931000,-0.085
5/30/2007,11.74,11.79,11.65,11.75,11.304621,589500,0.085
5/31/2007,11.45,11.88,11.15,11.85,11.400827,5315500,0.851
6/1/2007,11.81,11.95,11.67,11.93,11.477794,1971000,0.675
6/4/2007,11.94,11.94,11.69,11.8,11.35272,500900,-1.090
6/5/2007,11.76,11.8,11.53,11.68,11.237271,500900,-1.017
6/6/2007,11.62,11.66,11.47,11.56,11.121819,958300,-1.027
6/7/2007,11.58,11.65,11.51,11.65,11.208408,1927700,0.779
6/8/2007,11.62,11.66,11.53,11.57,11.131439,702800,-0.687
6/11/2007,11.5,11.61,11.41,11.59,11.150681,789000,0.173
6/12/2007,11.6,11.65,11.38,11.38,10.948643,536200,-1.812
6/13/2007,11.4,11.56,11.27,11.32,10.890917,322200,-0.527
6/14/2007,11.34,11.43,11.29,11.32,10.890917,385100,0.000
6/15/2007,11.39,11.51,11.27,11.35,10.919782,528800,0.265
6/18/2007,11.31,11.35,11.17,11.28,10.852431,1107900,-0.617
6/19/2007,11.24,11.28,10.87,11,10.583047,1448900,-2.482
6/20/2007,11.05,11.16,10.97,11.16,10.73698,2574700,1.455
6/21/2007,11.1,11.22,11.04,11.17,10.746602,329600,0.090
6/22/2007,11.13,11.2,10.96,11.09,10.669635,329300,-0.716
6/25/2007,11.07,11.12,10.86,10.99,10.573425,1934400,-0.902
6/26/2007,11.02,11.04,10.96,10.99,10.573425,390800,0.000
6/27/2007,10.97,10.98,10.77,10.84,10.429111,740300,-1.365
6/28/2007,10.84,11.06,10.84,11.05,10.63115,429700,1.937
6/29/2007,11.04,11.12,10.97,11.03,10.61191,338200,-0.181
7/2/2007,11.03,11.08,10.81,10.92,10.506078,1237700,-0.997
7/3/2007,10.87,11.18,10.87,11.13,10.708118,257000,1.923
7/5/2007,11.08,11.19,10.94,11,10.583047,471800,-1.168
7/6/2007,11,11.16,10.9,11.11,10.688877,206600,1.000
7/9/2007,11.06,11.21,11,11.12,10.698498,372400,0.090
7/10/2007,11.02,11.14,10.95,11.01,10.592668,709600,-0.989
7/11/2007,10.97,11.22,10.89,11.22,10.794707,461200,1.907
7/12/2007,11.22,11.25,11.2,11.25,10.823571,249700,0.267
7/13/2007,11.22,11.48,11.22,11.39,10.958265,657300,1.244
7/16/2007,11.46,11.59,11.19,11.27,10.842814,1398700,-1.054
7/17/2007,11.27,11.39,11.17,11.36,10.9294,394100,0.799
7/18/2007,11.3,11.35,11.17,11.33,10.900536,702300,-0.264
7/19/2007,11.23,11.45,11.2,11.41,10.977505,501900,0.706
7/20/2007,11.35,11.55,11.32,11.51,11.073715,916100,0.876
